,y1_countyname,y1_state,y2_countyname,y2_state,n2_inflow,agi_perThou_inflow,agi_inflow,yr_range,year1,year2,mig_direction1,unique_tag,secondary_county
19794,Lumpkin County Total Migration-US and Foreign,GA,Lumpkin County,GA,1903,42224,42224000,1516,2015,2016,inflow,Lumpkin County total migration-1516,"Lumpkin County Total Migration-US and Foreign, GA"
19800,Forsyth County,GA,Lumpkin County,GA,284,6613,6613000,1516,2015,2016,inflow,Lumpkin County-Forsyth County-GA-1516,"Forsyth County, GA"
19801,Hall County,GA,Lumpkin County,GA,244,4595,4595000,1516,2015,2016,inflow,Lumpkin County-Hall County-GA-1516,"Hall County, GA"
19802,Dawson County,GA,Lumpkin County,GA,256,4551,4551000,1516,2015,2016,inflow,Lumpkin County-Dawson County-GA-1516,"Dawson County, GA"
19803,Gwinnett County,GA,Lumpkin County,GA,83,2482,2482000,1516,2015,2016,inflow,Lumpkin County-Gwinnett County-GA-1516,"Gwinnett County, GA"
19804,White County,GA,Lumpkin County,GA,111,2184,2184000,1516,2015,2016,inflow,Lumpkin County-White County-GA-1516,"White County, GA"
19805,Fulton County,GA,Lumpkin County,GA,53,1948,1948000,1516,2015,2016,inflow,Lumpkin County-Fulton County-GA-1516,"Fulton County, GA"
19806,Habersham County,GA,Lumpkin County,GA,50,514,514000,1516,2015,2016,inflow,Lumpkin County-Habersham County-GA-1516,"Habersham County, GA"
20916,White County Total Migration-US and Foreign,GA,White County,GA,1682,34825,34825000,1516,2015,2016,inflow,White County total migration-1516,"White County Total Migration-US and Foreign, GA"
20922,Hall County,GA,White County,GA,311,4608,4608000,1516,2015,2016,inflow,White County-Hall County-GA-1516,"Hall County, GA"
20923,Habersham County,GA,White County,GA,173,3420,3420000,1516,2015,2016,inflow,White County-Habersham County-GA-1516,"Habersham County, GA"
20924,Lumpkin County,GA,White County,GA,148,1833,1833000,1516,2015,2016,inflow,White County-Lumpkin County-GA-1516,"Lumpkin County, GA"
20925,Gwinnett County,GA,White County,GA,73,2855,2855000,1516,2015,2016,inflow,White County-Gwinnett County-GA-1516,"Gwinnett County, GA"
20926,Forsyth County,GA,White County,GA,55,1475,1475000,1516,2015,2016,inflow,White County-Forsyth County-GA-1516,"Forsyth County, GA"
106378,Banks County Total Migration-US and Foreign,GA,Banks County,GA,1598,30874,30874000,1617,2016,2017,inflow,Banks County total migration-1617,"Banks County Total Migration-US and Foreign, GA"
106384,Jackson County,GA,Banks County,GA,373,7431,7431000,1617,2016,2017,inflow,Banks County-Jackson County-GA-1617,"Jackson County, GA"
106385,Habersham County,GA,Banks County,GA,284,3703,3703000,1617,2016,2017,inflow,Banks County-Habersham County-GA-1617,"Habersham County, GA"
106386,Hall County,GA,Banks County,GA,255,5726,5726000,1617,2016,2017,inflow,Banks County-Hall County-GA-1617,"Hall County, GA"
106387,Gwinnett County,GA,Banks County,GA,90,2778,2778000,1617,2016,2017,inflow,Banks County-Gwinnett County-GA-1617,"Gwinnett County, GA"
106388,Franklin County,GA,Banks County,GA,52,991,991000,1617,2016,2017,inflow,Banks County-Franklin County-GA-1617,"Franklin County, GA"
106389,Madison County,GA,Banks County,GA,42,401,401000,1617,2016,2017,inflow,Banks County-Madison County-GA-1617,"Madison County, GA"
106390,Clarke County,GA,Banks County,GA,46,757,757000,1617,2016,2017,inflow,Banks County-Clarke County-GA-1617,"Clarke County, GA"
106391,White County,GA,Banks County,GA,41,606,606000,1617,2016,2017,inflow,Banks County-White County-GA-1617,"White County, GA"
107654,Dawson County Total Migration-US and Foreign,GA,Dawson County,GA,3075,93238,93238000,1617,2016,2017,inflow,Dawson County total migration-1617,"Dawson County Total Migration-US and Foreign, GA"
107660,Forsyth County,GA,Dawson County,GA,1073,31790,31790000,1617,2016,2017,inflow,Dawson County-Forsyth County-GA-1617,"Forsyth County, GA"
107661,Lumpkin County,GA,Dawson County,GA,248,6219,6219000,1617,2016,2017,inflow,Dawson County-Lumpkin County-GA-1617,"Lumpkin County, GA"
107662,Hall County,GA,Dawson County,GA,212,4544,4544000,1617,2016,2017,inflow,Dawson County-Hall County-GA-1617,"Hall County, GA"
107663,Fulton County,GA,Dawson County,GA,174,8184,8184000,1617,2016,2017,inflow,Dawson County-Fulton County-GA-1617,"Fulton County, GA"
107664,Gwinnett County,GA,Dawson County,GA,191,5616,5616000,1617,2016,2017,inflow,Dawson County-Gwinnett County-GA-1617,"Gwinnett County, GA"
107665,Cherokee County,GA,Dawson County,GA,112,2357,2357000,1617,2016,2017,inflow,Dawson County-Cherokee County-GA-1617,"Cherokee County, GA"
107666,DeKalb County,GA,Dawson County,GA,34,1597,1597000,1617,2016,2017,inflow,Dawson County-DeKalb County-GA-1617,"DeKalb County, GA"
107667,Cobb County,GA,Dawson County,GA,42,2051,2051000,1617,2016,2017,inflow,Dawson County-Cobb County-GA-1617,"Cobb County, GA"
107668,Pickens County,GA,Dawson County,GA,44,1322,1322000,1617,2016,2017,inflow,Dawson County-Pickens County-GA-1617,"Pickens County, GA"
108966,Habersham County Total Migration-US and Foreign,GA,Habersham County,GA,2906,70968,70968000,1617,2016,2017,inflow,Habersham County total migration-1617,"Habersham County Total Migration-US and Foreign, GA"
108972,Hall County,GA,Habersham County,GA,451,9281,9281000,1617,2016,2017,inflow,Habersham County-Hall County-GA-1617,"Hall County, GA"
108973,White County,GA,Habersham County,GA,308,5212,5212000,1617,2016,2017,inflow,Habersham County-White County-GA-1617,"White County, GA"
108974,Banks County,GA,Habersham County,GA,281,5156,5156000,1617,2016,2017,inflow,Habersham County-Banks County-GA-1617,"Banks County, GA"
