,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
108301,Jackson County,GA,Forsyth County,GA,57,1767,1767000,1617,2016,2017,outflow,Jackson County-Forsyth County-GA-1617,"Forsyth County, GA"
108302,Jackson County,GA,Oglethorpe County,GA,44,645,645000,1617,2016,2017,outflow,Jackson County-Oglethorpe County-GA-1617,"Oglethorpe County, GA"
108303,Jackson County,GA,White County,GA,60,1107,1107000,1617,2016,2017,outflow,Jackson County-White County-GA-1617,"White County, GA"
108625,Lumpkin County,GA,Lumpkin County Total Migration-US and Foreign,GA,2167,53371,53371000,1617,2016,2017,outflow,Lumpkin County total migration-1617,"Lumpkin County Total Migration-US and Foreign, GA"
108631,Lumpkin County,GA,Hall County,GA,314,7454,7454000,1617,2016,2017,outflow,Lumpkin County-Hall County-GA-1617,"Hall County, GA"
108632,Lumpkin County,GA,Forsyth County,GA,229,5980,5980000,1617,2016,2017,outflow,Lumpkin County-Forsyth County-GA-1617,"Forsyth County, GA"
108633,Lumpkin County,GA,Dawson County,GA,248,6219,6219000,1617,2016,2017,outflow,Lumpkin County-Dawson County-GA-1617,"Dawson County, GA"
108634,Lumpkin County,GA,White County,GA,183,3680,3680000,1617,2016,2017,outflow,Lumpkin County-White County-GA-1617,"White County, GA"
108635,Lumpkin County,GA,Fulton County,GA,55,1501,1501000,1617,2016,2017,outflow,Lumpkin County-Fulton County-GA-1617,"Fulton County, GA"
108636,Lumpkin County,GA,Gwinnett County,GA,41,1089,1089000,1617,2016,2017,outflow,Lumpkin County-Gwinnett County-GA-1617,"Gwinnett County, GA"
109803,White County,GA,White County Total Migration-US and Foreign,GA,1719,33344,33344000,1617,2016,2017,outflow,White County total migration-1617,"White County Total Migration-US and Foreign, GA"
109809,White County,GA,Hall County,GA,370,7078,7078000,1617,2016,2017,outflow,White County-Hall County-GA-1617,"Hall County, GA"
109810,White County,GA,Habersham County,GA,308,5212,5212000,1617,2016,2017,outflow,White County-Habersham County-GA-1617,"Habersham County, GA"
109811,White County,GA,Lumpkin County,GA,120,2016,2016000,1617,2016,2017,outflow,White County-Lumpkin County-GA-1617,"Lumpkin County, GA"
109812,White County,GA,Gwinnett County,GA,47,1413,1413000,1617,2016,2017,outflow,White County-Gwinnett County-GA-1617,"Gwinnett County, GA"
