,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2,prim_county,sec_county,sec_county_state,yr_range2,sec_unique
230,Hall County-Forsyth County-GA-1819,"Forsyth County, GA",1819,2018,2019,695,33179000,545,19846000,150,13333000,Hall County,Hall County-Forsyth County-GA,Hall County,Forsyth County,GA,1819,"Forsyth County, GA"
232,Hall County-Fulton County-GA-1819,"Fulton County, GA",1819,2018,2019,401,24176000,339,19364000,62,4812000,Hall County,Hall County-Fulton County-GA,Hall County,Fulton County,GA,1819,"Fulton County, GA"
233,Hall County-Barrow County-GA-1819,"Barrow County, GA",1819,2018,2019,377,19416000,431,9392000,-54,10024000,Hall County,Hall County-Barrow County-GA,Hall County,Barrow County,GA,1819,"Barrow County, GA"
236,Hall County-DeKalb County-GA-1819,"DeKalb County, GA",1819,2018,2019,240,6665000,195,7363000,45,-698000,Hall County,Hall County-DeKalb County-GA,Hall County,DeKalb County,GA,1819,"DeKalb County, GA"
238,Hall County-Cobb County-GA-1819,"Cobb County, GA",1819,2018,2019,162,9186000,165,4897000,-3,4289000,Hall County,Hall County-Cobb County-GA,Hall County,Cobb County,GA,1819,"Cobb County, GA"
241,Hall County-Clarke County-GA-1819,"Clarke County, GA",1819,2018,2019,112,2419000,142,2855000,-30,-436000,Hall County,Hall County-Clarke County-GA,Hall County,Clarke County,GA,1819,"Clarke County, GA"
242,Hall County-Cherokee County-GA-1819,"Cherokee County, GA",1819,2018,2019,135,4126000,101,4155000,34,-29000,Hall County,Hall County-Cherokee County-GA,Hall County,Cherokee County,GA,1819,"Cherokee County, GA"
243,Hall County-Walton County-GA-1819,"Walton County, GA",1819,2018,2019,67,1403000,72,1972000,-5,-569000,Hall County,Hall County-Walton County-GA,Hall County,Walton County,GA,1819,"Walton County, GA"
244,Hall County-Stephens County-GA-1819,"Stephens County, GA",1819,2018,2019,75,1393000,59,2283000,16,-890000,Hall County,Hall County-Stephens County-GA,Hall County,Stephens County,GA,1819,"Stephens County, GA"
245,Hall County-Clayton County-GA-1819,"Clayton County, GA",1819,2018,2019,54,837000,40,538000,14,299000,Hall County,Hall County-Clayton County-GA,Hall County,Clayton County,GA,1819,"Clayton County, GA"
247,Jackson County-Gwinnett County-GA-1819,"Gwinnett County, GA",1819,2018,2019,1562,50911000,465,21230000,1097,29681000,Jackson County,Jackson County-Gwinnett County-GA,Jackson County,Gwinnett County,GA,1819,"Gwinnett County, GA"
249,Jackson County-Barrow County-GA-1819,"Barrow County, GA",1819,2018,2019,682,15362000,421,13799000,261,1563000,Jackson County,Jackson County-Barrow County-GA,Jackson County,Barrow County,GA,1819,"Barrow County, GA"
250,Jackson County-Clarke County-GA-1819,"Clarke County, GA",1819,2018,2019,447,9600000,387,9267000,60,333000,Jackson County,Jackson County-Clarke County-GA,Jackson County,Clarke County,GA,1819,"Clarke County, GA"
252,Jackson County-Madison County-GA-1819,"Madison County, GA",1819,2018,2019,156,3252000,155,2404000,1,848000,Jackson County,Jackson County-Madison County-GA,Jackson County,Madison County,GA,1819,"Madison County, GA"
253,Jackson County-Walton County-GA-1819,"Walton County, GA",1819,2018,2019,131,3285000,62,2835000,69,450000,Jackson County,Jackson County-Walton County-GA,Jackson County,Walton County,GA,1819,"Walton County, GA"
254,Jackson County-DeKalb County-GA-1819,"DeKalb County, GA",1819,2018,2019,71,2397000,57,1495000,14,902000,Jackson County,Jackson County-DeKalb County-GA,Jackson County,DeKalb County,GA,1819,"DeKalb County, GA"
255,Jackson County-Fulton County-GA-1819,"Fulton County, GA",1819,2018,2019,76,3408000,69,2920000,7,488000,Jackson County,Jackson County-Fulton County-GA,Jackson County,Fulton County,GA,1819,"Fulton County, GA"
256,Jackson County-Oconee County-GA-1819,"Oconee County, GA",1819,2018,2019,101,2484000,93,2267000,8,217000,Jackson County,Jackson County-Oconee County-GA,Jackson County,Oconee County,GA,1819,"Oconee County, GA"
257,Jackson County-Forsyth County-GA-1819,"Forsyth County, GA",1819,2018,2019,70,2920000,61,2090000,9,830000,Jackson County,Jackson County-Forsyth County-GA,Jackson County,Forsyth County,GA,1819,"Forsyth County, GA"
259,Jackson County-Franklin County-GA-1819,"Franklin County, GA",1819,2018,2019,55,1218000,104,2264000,-49,-1046000,Jackson County,Jackson County-Franklin County-GA,Jackson County,Franklin County,GA,1819,"Franklin County, GA"
262,Lumpkin County-Forsyth County-GA-1819,"Forsyth County, GA",1819,2018,2019,309,11468000,180,4600000,129,6868000,Lumpkin County,Lumpkin County-Forsyth County-GA,Lumpkin County,Forsyth County,GA,1819,"Forsyth County, GA"
266,Lumpkin County-Gwinnett County-GA-1819,"Gwinnett County, GA",1819,2018,2019,78,3001000,67,1529000,11,1472000,Lumpkin County,Lumpkin County-Gwinnett County-GA,Lumpkin County,Gwinnett County,GA,1819,"Gwinnett County, GA"
267,Lumpkin County-Fulton County-GA-1819,"Fulton County, GA",1819,2018,2019,43,1975000,50,1812000,-7,163000,Lumpkin County,Lumpkin County-Fulton County-GA,Lumpkin County,Fulton County,GA,1819,"Fulton County, GA"
268,Lumpkin County-Cherokee County-GA-1819,"Cherokee County, GA",1819,2018,2019,41,1613000,36,905000,5,708000,Lumpkin County,Lumpkin County-Cherokee County-GA,Lumpkin County,Cherokee County,GA,1819,"Cherokee County, GA"
273,White County-Gwinnett County-GA-1819,"Gwinnett County, GA",1819,2018,2019,105,3650000,38,1086000,67,2564000,White County,White County-Gwinnett County-GA,White County,Gwinnett County,GA,1819,"Gwinnett County, GA"
274,White County-Forsyth County-GA-1819,"Forsyth County, GA",1819,2018,2019,70,2937000,38,1040000,32,1897000,White County,White County-Forsyth County-GA,White County,Forsyth County,GA,1819,"Forsyth County, GA"
280,Banks County-Franklin County-GA-1920,"Franklin County, GA",1920,2019,2020,57,1064000,79,1330000,-22,-266000,Banks County,Banks County-Franklin County-GA,Banks County,Franklin County,GA,1920,"Franklin County, GA"
281,Banks County-Madison County-GA-1920,"Madison County, GA",1920,2019,2020,42,784000,55,1384000,-13,-600000,Banks County,Banks County-Madison County-GA,Banks County,Madison County,GA,1920,"Madison County, GA"
283,Dawson County-Forsyth County-GA-1920,"Forsyth County, GA",1920,2019,2020,1149,37380000,470,14269000,679,23111000,Dawson County,Dawson County-Forsyth County-GA,Dawson County,Forsyth County,GA,1920,"Forsyth County, GA"
284,Dawson County-Fulton County-GA-1920,"Fulton County, GA",1920,2019,2020,195,18791000,63,2638000,132,16153000,Dawson County,Dawson County-Fulton County-GA,Dawson County,Fulton County,GA,1920,"Fulton County, GA"
287,Dawson County-Gwinnett County-GA-1920,"Gwinnett County, GA",1920,2019,2020,160,5776000,80,2613000,80,3163000,Dawson County,Dawson County-Gwinnett County-GA,Dawson County,Gwinnett County,GA,1920,"Gwinnett County, GA"
288,Dawson County-Cherokee County-GA-1920,"Cherokee County, GA",1920,2019,2020,127,3352000,58,2015000,69,1337000,Dawson County,Dawson County-Cherokee County-GA,Dawson County,Cherokee County,GA,1920,"Cherokee County, GA"
289,Dawson County-Pickens County-GA-1920,"Pickens County, GA",1920,2019,2020,59,2020000,58,1437000,1,583000,Dawson County,Dawson County-Pickens County-GA,Dawson County,Pickens County,GA,1920,"Pickens County, GA"
294,Habersham County-Gwinnett County-GA-1920,"Gwinnett County, GA",1920,2019,2020,176,6387000,58,1886000,118,4501000,Habersham County,Habersham County-Gwinnett County-GA,Habersham County,Gwinnett County,GA,1920,"Gwinnett County, GA"
295,Habersham County-Stephens County-GA-1920,"Stephens County, GA",1920,2019,2020,171,3065000,155,3408000,16,-343000,Habersham County,Habersham County-Stephens County-GA,Habersham County,Stephens County,GA,1920,"Stephens County, GA"
296,Habersham County-Rabun County-GA-1920,"Rabun County, GA",1920,2019,2020,105,2974000,71,1516000,34,1458000,Habersham County,Habersham County-Rabun County-GA,Habersham County,Rabun County,GA,1920,"Rabun County, GA"
299,Hall County-Gwinnett County-GA-1920,"Gwinnett County, GA",1920,2019,2020,3844,150485000,1568,46450000,2276,104035000,Hall County,Hall County-Gwinnett County-GA,Hall County,Gwinnett County,GA,1920,"Gwinnett County, GA"
300,Hall County-Forsyth County-GA-1920,"Forsyth County, GA",1920,2019,2020,956,40503000,612,19963000,344,20540000,Hall County,Hall County-Forsyth County-GA,Hall County,Forsyth County,GA,1920,"Forsyth County, GA"
302,Hall County-Fulton County-GA-1920,"Fulton County, GA",1920,2019,2020,432,27556000,307,18049000,125,9507000,Hall County,Hall County-Fulton County-GA,Hall County,Fulton County,GA,1920,"Fulton County, GA"
303,Hall County-Barrow County-GA-1920,"Barrow County, GA",1920,2019,2020,355,9406000,473,11187000,-118,-1781000,Hall County,Hall County-Barrow County-GA,Hall County,Barrow County,GA,1920,"Barrow County, GA"
304,Hall County-DeKalb County-GA-1920,"DeKalb County, GA",1920,2019,2020,292,13198000,197,7369000,95,5829000,Hall County,Hall County-DeKalb County-GA,Hall County,DeKalb County,GA,1920,"DeKalb County, GA"
308,Hall County-Cobb County-GA-1920,"Cobb County, GA",1920,2019,2020,217,14505000,148,4709000,69,9796000,Hall County,Hall County-Cobb County-GA,Hall County,Cobb County,GA,1920,"Cobb County, GA"
310,Hall County-Clarke County-GA-1920,"Clarke County, GA",1920,2019,2020,132,3391000,152,4707000,-20,-1316000,Hall County,Hall County-Clarke County-GA,Hall County,Clarke County,GA,1920,"Clarke County, GA"
312,Hall County-Cherokee County-GA-1920,"Cherokee County, GA",1920,2019,2020,193,8928000,93,3355000,100,5573000,Hall County,Hall County-Cherokee County-GA,Hall County,Cherokee County,GA,1920,"Cherokee County, GA"
313,Hall County-Walton County-GA-1920,"Walton County, GA",1920,2019,2020,118,3593000,90,2635000,28,958000,Hall County,Hall County-Walton County-GA,Hall County,Walton County,GA,1920,"Walton County, GA"
314,Hall County-Stephens County-GA-1920,"Stephens County, GA",1920,2019,2020,73,1645000,91,2567000,-18,-922000,Hall County,Hall County-Stephens County-GA,Hall County,Stephens County,GA,1920,"Stephens County, GA"
315,Hall County-Orange County-FL-1920,"Orange County, FL",1920,2019,2020,33,1021000,38,885000,-5,136000,Hall County,Hall County-Orange County-FL,Hall County,Orange County,FL,1920,"Orange County, FL"
316,Hall County-Mecklenburg County-NC-1920,"Mecklenburg County, NC",1920,2019,2020,37,2082000,31,865000,6,1217000,Hall County,Hall County-Mecklenburg County-NC,Hall County,Mecklenburg County,NC,1920,"Mecklenburg County, NC"
318,Jackson County-Gwinnett County-GA-1920,"Gwinnett County, GA",1920,2019,2020,2223,72482000,484,14320000,1739,58162000,Jackson County,Jackson County-Gwinnett County-GA,Jackson County,Gwinnett County,GA,1920,"Gwinnett County, GA"
320,Jackson County-Barrow County-GA-1920,"Barrow County, GA",1920,2019,2020,886,19865000,430,10956000,456,8909000,Jackson County,Jackson County-Barrow County-GA,Jackson County,Barrow County,GA,1920,"Barrow County, GA"
321,Jackson County-Clarke County-GA-1920,"Clarke County, GA",1920,2019,2020,520,12796000,370,7756000,150,5040000,Jackson County,Jackson County-Clarke County-GA,Jackson County,Clarke County,GA,1920,"Clarke County, GA"
323,Jackson County-Madison County-GA-1920,"Madison County, GA",1920,2019,2020,140,3379000,210,4694000,-70,-1315000,Jackson County,Jackson County-Madison County-GA,Jackson County,Madison County,GA,1920,"Madison County, GA"
324,Jackson County-Forsyth County-GA-1920,"Forsyth County, GA",1920,2019,2020,126,4435000,88,3408000,38,1027000,Jackson County,Jackson County-Forsyth County-GA,Jackson County,Forsyth County,GA,1920,"Forsyth County, GA"
325,Jackson County-Fulton County-GA-1920,"Fulton County, GA",1920,2019,2020,106,4287000,75,2077000,31,2210000,Jackson County,Jackson County-Fulton County-GA,Jackson County,Fulton County,GA,1920,"Fulton County, GA"
326,Jackson County-Walton County-GA-1920,"Walton County, GA",1920,2019,2020,114,3022000,81,1889000,33,1133000,Jackson County,Jackson County-Walton County-GA,Jackson County,Walton County,GA,1920,"Walton County, GA"
327,Jackson County-DeKalb County-GA-1920,"DeKalb County, GA",1920,2019,2020,88,5021000,35,1337000,53,3684000,Jackson County,Jackson County-DeKalb County-GA,Jackson County,DeKalb County,GA,1920,"DeKalb County, GA"
328,Jackson County-Franklin County-GA-1920,"Franklin County, GA",1920,2019,2020,101,2762000,162,3411000,-61,-649000,Jackson County,Jackson County-Franklin County-GA,Jackson County,Franklin County,GA,1920,"Franklin County, GA"
329,Jackson County-Oconee County-GA-1920,"Oconee County, GA",1920,2019,2020,93,2384000,104,3285000,-11,-901000,Jackson County,Jackson County-Oconee County-GA,Jackson County,Oconee County,GA,1920,"Oconee County, GA"
331,Jackson County-Cobb County-GA-1920,"Cobb County, GA",1920,2019,2020,51,1957000,51,1217000,0,740000,Jackson County,Jackson County-Cobb County-GA,Jackson County,Cobb County,GA,1920,"Cobb County, GA"
333,Lumpkin County-Forsyth County-GA-1920,"Forsyth County, GA",1920,2019,2020,410,11476000,182,4558000,228,6918000,Lumpkin County,Lumpkin County-Forsyth County-GA,Lumpkin County,Forsyth County,GA,1920,"Forsyth County, GA"
336,Lumpkin County-Gwinnett County-GA-1920,"Gwinnett County, GA",1920,2019,2020,105,3284000,49,1378000,56,1906000,Lumpkin County,Lumpkin County-Gwinnett County-GA,Lumpkin County,Gwinnett County,GA,1920,"Gwinnett County, GA"
338,Lumpkin County-Fulton County-GA-1920,"Fulton County, GA",1920,2019,2020,84,6078000,40,1428000,44,4650000,Lumpkin County,Lumpkin County-Fulton County-GA,Lumpkin County,Fulton County,GA,1920,"Fulton County, GA"
339,Lumpkin County-Cherokee County-GA-1920,"Cherokee County, GA",1920,2019,2020,59,1222000,47,2350000,12,-1128000,Lumpkin County,Lumpkin County-Cherokee County-GA,Lumpkin County,Cherokee County,GA,1920,"Cherokee County, GA"
340,Lumpkin County-Cobb County-GA-1920,"Cobb County, GA",1920,2019,2020,45,4817000,27,885000,18,3932000,Lumpkin County,Lumpkin County-Cobb County-GA,Lumpkin County,Cobb County,GA,1920,"Cobb County, GA"
345,White County-Gwinnett County-GA-1920,"Gwinnett County, GA",1920,2019,2020,144,4768000,69,2407000,75,2361000,White County,White County-Gwinnett County-GA,White County,Gwinnett County,GA,1920,"Gwinnett County, GA"
346,White County-Forsyth County-GA-1920,"Forsyth County, GA",1920,2019,2020,135,4574000,73,1539000,62,3035000,White County,White County-Forsyth County-GA,White County,Forsyth County,GA,1920,"Forsyth County, GA"
