,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2,prim_county,sec_county,sec_county_state,yr_range2,sec_unique
40,Jackson County-Clarke County-GA-1516,"Clarke County, GA",1516,2015,2016,351,7742000,371,7710000,-20,32000,Jackson County,Jackson County-Clarke County-GA,Jackson County,Clarke County,GA,1516,"Clarke County, GA"
42,Jackson County-Madison County-GA-1516,"Madison County, GA",1516,2015,2016,187,2284000,176,3156000,11,-872000,Jackson County,Jackson County-Madison County-GA,Jackson County,Madison County,GA,1516,"Madison County, GA"
43,Jackson County-Walton County-GA-1516,"Walton County, GA",1516,2015,2016,97,1502000,55,853000,42,649000,Jackson County,Jackson County-Walton County-GA,Jackson County,Walton County,GA,1516,"Walton County, GA"
44,Jackson County-Franklin County-GA-1516,"Franklin County, GA",1516,2015,2016,94,1131000,130,1452000,-36,-321000,Jackson County,Jackson County-Franklin County-GA,Jackson County,Franklin County,GA,1516,"Franklin County, GA"
45,Jackson County-DeKalb County-GA-1516,"DeKalb County, GA",1516,2015,2016,57,1473000,36,888000,21,585000,Jackson County,Jackson County-DeKalb County-GA,Jackson County,DeKalb County,GA,1516,"DeKalb County, GA"
46,Jackson County-Oconee County-GA-1516,"Oconee County, GA",1516,2015,2016,66,1526000,76,2408000,-10,-882000,Jackson County,Jackson County-Oconee County-GA,Jackson County,Oconee County,GA,1516,"Oconee County, GA"
47,Jackson County-Forsyth County-GA-1516,"Forsyth County, GA",1516,2015,2016,71,2129000,37,1098000,34,1031000,Jackson County,Jackson County-Forsyth County-GA,Jackson County,Forsyth County,GA,1516,"Forsyth County, GA"
48,Jackson County-Fulton County-GA-1516,"Fulton County, GA",1516,2015,2016,49,2015000,50,1141000,-1,874000,Jackson County,Jackson County-Fulton County-GA,Jackson County,Fulton County,GA,1516,"Fulton County, GA"
50,Lumpkin County-Forsyth County-GA-1516,"Forsyth County, GA",1516,2015,2016,284,6613000,162,3862000,122,2751000,Lumpkin County,Lumpkin County-Forsyth County-GA,Lumpkin County,Forsyth County,GA,1516,"Forsyth County, GA"
53,Lumpkin County-Gwinnett County-GA-1516,"Gwinnett County, GA",1516,2015,2016,83,2482000,52,703000,31,1779000,Lumpkin County,Lumpkin County-Gwinnett County-GA,Lumpkin County,Gwinnett County,GA,1516,"Gwinnett County, GA"
55,Lumpkin County-Fulton County-GA-1516,"Fulton County, GA",1516,2015,2016,53,1948000,38,1567000,15,381000,Lumpkin County,Lumpkin County-Fulton County-GA,Lumpkin County,Fulton County,GA,1516,"Fulton County, GA"
61,White County-Gwinnett County-GA-1516,"Gwinnett County, GA",1516,2015,2016,73,2855000,35,837000,38,2018000,White County,White County-Gwinnett County-GA,White County,Gwinnett County,GA,1516,"Gwinnett County, GA"
66,Banks County-Franklin County-GA-1617,"Franklin County, GA",1617,2016,2017,52,991000,99,1092000,-47,-101000,Banks County,Banks County-Franklin County-GA,Banks County,Franklin County,GA,1617,"Franklin County, GA"
67,Banks County-Madison County-GA-1617,"Madison County, GA",1617,2016,2017,42,401000,46,644000,-4,-243000,Banks County,Banks County-Madison County-GA,Banks County,Madison County,GA,1617,"Madison County, GA"
68,Banks County-Clarke County-GA-1617,"Clarke County, GA",1617,2016,2017,46,757000,40,578000,6,179000,Banks County,Banks County-Clarke County-GA,Banks County,Clarke County,GA,1617,"Clarke County, GA"
70,Dawson County-Forsyth County-GA-1617,"Forsyth County, GA",1617,2016,2017,1073,31790000,619,14314000,454,17476000,Dawson County,Dawson County-Forsyth County-GA,Dawson County,Forsyth County,GA,1617,"Forsyth County, GA"
73,Dawson County-Fulton County-GA-1617,"Fulton County, GA",1617,2016,2017,174,8184000,68,2830000,106,5354000,Dawson County,Dawson County-Fulton County-GA,Dawson County,Fulton County,GA,1617,"Fulton County, GA"
74,Dawson County-Gwinnett County-GA-1617,"Gwinnett County, GA",1617,2016,2017,191,5616000,48,1105000,143,4511000,Dawson County,Dawson County-Gwinnett County-GA,Dawson County,Gwinnett County,GA,1617,"Gwinnett County, GA"
75,Dawson County-Cherokee County-GA-1617,"Cherokee County, GA",1617,2016,2017,112,2357000,89,2789000,23,-432000,Dawson County,Dawson County-Cherokee County-GA,Dawson County,Cherokee County,GA,1617,"Cherokee County, GA"
76,Dawson County-DeKalb County-GA-1617,"DeKalb County, GA",1617,2016,2017,34,1597000,32,885000,2,712000,Dawson County,Dawson County-DeKalb County-GA,Dawson County,DeKalb County,GA,1617,"DeKalb County, GA"
77,Dawson County-Cobb County-GA-1617,"Cobb County, GA",1617,2016,2017,42,2051000,38,1040000,4,1011000,Dawson County,Dawson County-Cobb County-GA,Dawson County,Cobb County,GA,1617,"Cobb County, GA"
78,Dawson County-Pickens County-GA-1617,"Pickens County, GA",1617,2016,2017,44,1322000,68,1375000,-24,-53000,Dawson County,Dawson County-Pickens County-GA,Dawson County,Pickens County,GA,1617,"Pickens County, GA"
83,Habersham County-Stephens County-GA-1617,"Stephens County, GA",1617,2016,2017,201,3781000,252,5125000,-51,-1344000,Habersham County,Habersham County-Stephens County-GA,Habersham County,Stephens County,GA,1617,"Stephens County, GA"
84,Habersham County-Gwinnett County-GA-1617,"Gwinnett County, GA",1617,2016,2017,160,5930000,58,1148000,102,4782000,Habersham County,Habersham County-Gwinnett County-GA,Habersham County,Gwinnett County,GA,1617,"Gwinnett County, GA"
86,Habersham County-Rabun County-GA-1617,"Rabun County, GA",1617,2016,2017,63,1415000,62,1531000,1,-116000,Habersham County,Habersham County-Rabun County-GA,Habersham County,Rabun County,GA,1617,"Rabun County, GA"
87,Habersham County-Franklin County-GA-1617,"Franklin County, GA",1617,2016,2017,48,864000,65,1118000,-17,-254000,Habersham County,Habersham County-Franklin County-GA,Habersham County,Franklin County,GA,1617,"Franklin County, GA"
89,Hall County-Gwinnett County-GA-1617,"Gwinnett County, GA",1617,2016,2017,3794,130620000,2080,62836000,1714,67784000,Hall County,Hall County-Gwinnett County-GA,Hall County,Gwinnett County,GA,1617,"Gwinnett County, GA"
90,Hall County-Forsyth County-GA-1617,"Forsyth County, GA",1617,2016,2017,955,35692000,628,21712000,327,13980000,Hall County,Hall County-Forsyth County-GA,Hall County,Forsyth County,GA,1617,"Forsyth County, GA"
92,Hall County-Fulton County-GA-1617,"Fulton County, GA",1617,2016,2017,464,31167000,311,15830000,153,15337000,Hall County,Hall County-Fulton County-GA,Hall County,Fulton County,GA,1617,"Fulton County, GA"
93,Hall County-Barrow County-GA-1617,"Barrow County, GA",1617,2016,2017,487,11939000,579,12805000,-92,-866000,Hall County,Hall County-Barrow County-GA,Hall County,Barrow County,GA,1617,"Barrow County, GA"
94,Hall County-DeKalb County-GA-1617,"DeKalb County, GA",1617,2016,2017,349,11650000,248,7062000,101,4588000,Hall County,Hall County-DeKalb County-GA,Hall County,DeKalb County,GA,1617,"DeKalb County, GA"
97,Hall County-Cobb County-GA-1617,"Cobb County, GA",1617,2016,2017,267,12792000,175,5553000,92,7239000,Hall County,Hall County-Cobb County-GA,Hall County,Cobb County,GA,1617,"Cobb County, GA"
100,Hall County-Cherokee County-GA-1617,"Cherokee County, GA",1617,2016,2017,171,5311000,102,3340000,69,1971000,Hall County,Hall County-Cherokee County-GA,Hall County,Cherokee County,GA,1617,"Cherokee County, GA"
102,Hall County-Walton County-GA-1617,"Walton County, GA",1617,2016,2017,129,2733000,115,3328000,14,-595000,Hall County,Hall County-Walton County-GA,Hall County,Walton County,GA,1617,"Walton County, GA"
103,Hall County-Clarke County-GA-1617,"Clarke County, GA",1617,2016,2017,100,2083000,199,3754000,-99,-1671000,Hall County,Hall County-Clarke County-GA,Hall County,Clarke County,GA,1617,"Clarke County, GA"
104,Hall County-Chatham County-GA-1617,"Chatham County, GA",1617,2016,2017,96,3310000,45,1162000,51,2148000,Hall County,Hall County-Chatham County-GA,Hall County,Chatham County,GA,1617,"Chatham County, GA"
105,Hall County-Henry County-GA-1617,"Henry County, GA",1617,2016,2017,78,2245000,31,1550000,47,695000,Hall County,Hall County-Henry County-GA,Hall County,Henry County,GA,1617,"Henry County, GA"
106,Hall County-Stephens County-GA-1617,"Stephens County, GA",1617,2016,2017,73,1536000,94,1794000,-21,-258000,Hall County,Hall County-Stephens County-GA,Hall County,Stephens County,GA,1617,"Stephens County, GA"
107,Hall County-Harris County-TX-1617,"Harris County, TX",1617,2016,2017,67,1018000,45,788000,22,230000,Hall County,Hall County-Harris County-TX,Hall County,Harris County,TX,1617,"Harris County, TX"
108,Hall County-Rabun County-GA-1617,"Rabun County, GA",1617,2016,2017,39,1236000,34,1461000,5,-225000,Hall County,Hall County-Rabun County-GA,Hall County,Rabun County,GA,1617,"Rabun County, GA"
109,Hall County-Duval County-FL-1617,"Duval County, FL",1617,2016,2017,43,751000,38,686000,5,65000,Hall County,Hall County-Duval County-FL,Hall County,Duval County,FL,1617,"Duval County, FL"
110,Hall County-Pinellas County-FL-1617,"Pinellas County, FL",1617,2016,2017,37,1314000,44,835000,-7,479000,Hall County,Hall County-Pinellas County-FL,Hall County,Pinellas County,FL,1617,"Pinellas County, FL"
112,Jackson County-Gwinnett County-GA-1617,"Gwinnett County, GA",1617,2016,2017,2130,65885000,577,13685000,1553,52200000,Jackson County,Jackson County-Gwinnett County-GA,Jackson County,Gwinnett County,GA,1617,"Gwinnett County, GA"
114,Jackson County-Barrow County-GA-1617,"Barrow County, GA",1617,2016,2017,976,21958000,493,10290000,483,11668000,Jackson County,Jackson County-Barrow County-GA,Jackson County,Barrow County,GA,1617,"Barrow County, GA"
